id,birth,male,hgc,edu,urb,hispanic,black,high_school_dropout,high_school_graduate,some_college,college_graduate,above_college,protestant,catholic,sinbeg1,sinend1,sindur1,sinrc1,marbeg1,marend1,mardur1,marrc1,sinbeg2,sinend2,sindur2,sinrc2,marbeg2,marend2,mardur2,marrc2,sinbeg3,sinend3,sindur3,sinrc3,marbeg3,marend3,mardur3,marrc3,sinbeg4,sinend4,sindur4,sinrc4,marbeg4,marend4,mardur4,marrc4,age_sinbeg1,age_sinend1,age_marbeg1,age_marend1,age_sinbeg2,age_sinend2,age_marbeg2,age_marend2,age_sinbeg3,age_sinend3,age_marbeg3,age_marend3,age_sinbeg4,age_sinend4,age_marbeg4,age_marend4,mar1spouse_hgc,mar1spouse_edu,mar2spouse_hgc,mar2spouse_edu,mar3spouse_hgc,mar3spouse_edu,mar4spouse_hgc,mar4spouse_edu,spouse_age_marbeg1,spouse_age_marbeg2,spouse_age_marbeg3,spouse_age_marbeg4,spouse_age_marend1,spouse_age_marend2,spouse_age_marend3,spouse_age_marend4,mar1_age_spouse_age,mar2_age_spouse_age,mar3_age_spouse_age,mar4_age_spouse_age,mar1_edu_equal,mar1_edu_spouseHigher,mar2_edu_equal,mar2_edu_spouseHigher,mar3_edu_equal,mar3_edu_spouseHigher,mar4_edu_equal,mar4_edu_spouseHigher,mar1_spouseEdu_NA,mar2_spouseEdu_NA,mar3_spouseEdu_NA,mar4_spouseEdu_NA,mar1_spouseAge_NA,mar2_spouseAge_NA,mar3_spouseAge_NA,mar4_spouseAge_NA,mar1_age_diff,mar2_age_diff,mar3_age_diff,mar4_age_diff,mar1spouse_hsd,mar1spouse_hsg,mar1spouse_sc,mar1spouse_cg,mar1spouse_ac,mar2spouse_hsd,mar2spouse_hsg,mar2spouse_sc,mar2spouse_cg,mar2spouse_ac,mar3spouse_hsd,mar3spouse_hsg,mar3spouse_sc,mar3spouse_cg,mar3spouse_ac,mar4spouse_hsd,mar4spouse_hsg,mar4spouse_sc,mar4spouse_cg,mar4spouse_ac
7099,1958,1,18,4,1.0,0,1,0,0,0,0,1,1,0,1974,1986,12.0,0,1986.0,-998.0,33.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100,1961,1,15,2,1.0,0,1,0,0,1,0,0,1,0,1977,-999,42.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101,1958,1,13,2,1.0,0,1,0,0,1,0,0,1,0,1974,1982,8.0,0,1982.0,-998.0,37.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7102,1961,0,18,4,1.0,0,1,0,0,0,0,1,1,0,1977,1986,9.0,0,1986.0,1988.0,2.0,0.0,1988.0,1991.0,3.0,0.0,1991.0,1994.0,3.0,0.0,1994.0,-995.0,25.0,1.0,,,,,,,,,,,,,16.0,25.0,25.0,27.0,27.0,30.0,30.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7103,1959,1,20,4,1.0,0,1,0,0,0,0,1,1,0,1975,1983,8.0,0,1983.0,1994.0,11.0,0.0,1994.0,-997.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,24.0,24.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7104,1964,1,16,3,1.0,0,1,0,0,0,1,0,1,0,1980,1994,14.0,0,1994.0,-998.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,30.0,30.0,,,,,,,,,,,,,,16.0,3.0,,,,,,,22.0,,,,,,,,660.0,,,,1.0,0.0,,,,,,,0.0,,,,0.0,,,,8.0,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
7105,1960,0,17,4,1.0,0,1,0,0,0,0,1,0,1,1976,1980,4.0,0,1980.0,1986.0,6.0,0.0,1986.0,-997.0,33.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,20.0,20.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7106,1964,0,16,3,1.0,0,1,0,0,0,1,0,0,1,1980,1995,15.0,0,1995.0,2010.0,15.0,0.0,2010.0,-997.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,31.0,31.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,28.0,,,,43.0,,,,868.0,,,,,,,,,,,,1.0,,,,0.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
7107,1961,0,16,3,1.0,0,1,0,0,0,1,0,1,0,1977,-999,42.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7108,1958,1,14,2,1.0,0,0,0,0,1,0,0,1,0,1974,-999,45.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7109,1961,1,13,2,1.0,0,0,0,0,1,0,0,0,0,1977,1981,4.0,0,1981.0,-998.0,38.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7110,1963,1,12,1,1.0,0,0,0,1,0,0,0,0,0,1979,-999,40.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7111,1964,0,13,2,1.0,0,0,0,0,1,0,0,1,0,1980,1981,1.0,0,1981.0,1988.0,7.0,0.0,1988.0,-997.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,17.0,17.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7112,1964,1,10,0,1.0,0,0,1,0,0,0,0,0,0,1980,1986,6.0,0,1986.0,-998.0,33.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,22.0,22.0,,,,,,,,,,,,,,11.0,0.0,,,,,,,16.0,,,,,,,,352.0,,,,1.0,0.0,,,,,,,0.0,,,,0.0,,,,6.0,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
7113,1961,1,12,1,1.0,0,1,0,1,0,0,0,0,0,1977,2010,33.0,0,2010.0,-998.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7114,1962,1,14,2,1.0,0,1,0,0,1,0,0,1,0,1978,1992,14.0,0,1992.0,1998.0,6.0,0.0,1998.0,-997.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,30.0,30.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,19.0,,,,25.0,,,,570.0,,,,,,,,,,,,1.0,,,,0.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,
7115,1963,0,13,2,1.0,0,1,0,0,1,0,0,1,0,1979,-999,40.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7116,1958,0,16,3,1.0,0,1,0,0,0,1,0,0,1,1974,1979,5.0,0,1979.0,1987.0,8.0,0.0,1987.0,-997.0,32.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,21.0,21.0,29.0,29.0,,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,1.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
7117,1961,1,9,0,1.0,0,1,1,0,0,0,0,1,0,1977,-999,42.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7118,1963,0,14,2,1.0,0,1,0,0,1,0,0,1,0,1979,1998,19.0,0,1998.0,-998.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7119,1964,1,20,4,1.0,0,1,0,0,0,0,1,1,0,1980,1990,10.0,0,1990.0,1997.0,7.0,0.0,1997.0,2010.0,13.0,0.0,2010.0,-996.0,9.0,1.0,,,,,,,,,,,,,,,,,16.0,26.0,26.0,33.0,33.0,46.0,46.0,,,,,,,,,,13.0,2.0,18.0,4.0,,,,,,38.0,,,,,,,,1748.0,,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,1.0,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
7120,1959,0,14,2,1.0,0,1,0,0,1,0,0,1,0,1975,-999,44.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7121,1960,1,16,3,1.0,0,1,0,0,0,1,0,1,0,1976,1992,16.0,0,1992.0,-998.0,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,32.0,32.0,,,,,,,,,,,,,,16.0,3.0,,,,,,,32.0,,,,,,,,1024.0,,,,1.0,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
7122,1960,1,12,1,1.0,0,1,0,1,0,0,0,1,0,1976,1984,8.0,0,1984.0,1989.0,5.0,0.0,1989.0,1991.0,2.0,0.0,1991.0,1994.0,3.0,0.0,1994.0,-995.0,25.0,1.0,,,,,,,,,,,,,16.0,24.0,24.0,29.0,29.0,31.0,31.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7123,1962,0,13,2,1.0,0,1,0,0,1,0,0,1,0,1978,-999,41.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7124,1958,0,12,1,1.0,0,1,0,1,0,0,0,0,0,1974,1980,6.0,0,1980.0,-998.0,39.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7125,1957,1,12,1,1.0,0,1,0,1,0,0,0,1,0,1973,1984,11.0,0,1984.0,1996.0,12.0,0.0,1996.0,-997.0,23.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,27.0,27.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7126,1958,0,12,1,1.0,0,1,0,1,0,0,0,0,0,1974,2013,39.0,0,2013.0,2018.0,5.0,0.0,2018.0,-997.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,55.0,55.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,52.0,,,,57.0,,,,2860.0,,,,,,,,,,,,1.0,,,,0.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
