id,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
3,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,,13,13,,13,13,13,13
4,,,12,12,,,,,,,,,,,,,13,13,,,,,,,,,12,12
5,,,,,,,,-3,,-3,-3,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,16,16,18,18,18,18,,18,18,20,20,20,20,20,20,20,20
7,,,,,,,,,,,,12,12,12,12,,,,,,,,,,,,,
8,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,12,12,12,12,12,13
9,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,20,20,20,
10,,,,,12,12,12,,,12,,12,12,12,12,12,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,12,12,12,,,,,,,,14,14,,,,,,,,,,,,
13,,,,,,,,,,,15,15,15,15,15,15,15,15,,,,,,,,,,
14,,,,,,,,,,,,,13,13,13,13,13,,,,,,,,,,,
15,,,,,,,,,,,,,,,19,19,19,19,19,19,19,19,19,19,19,19,19,19
16,,,,,,,,,,15,16,16,16,16,16,16,16,16,16,16,16,16,,,,,,
17,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,
18,,14,14,14,14,14,14,14,14,14,14,14,14,,,13,13,13,,,,,,,,,,
19,10,,,,,,,,,12,,,,,,,,,,,,12,,12,,,,
20,,,,,,,,,,-3,16,16,16,16,16,16,16,16,16,16,16,16,16,,16,16,16,
21,,,,,,,,,,,,,,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18
22,,,,,,,,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,12,12,12,12,12,,12,12,,,,,,,,,,,,,
25,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
26,,,,,,,,,,15,15,15,15,15,18,,,,,,,,,18,18,,,
27,,,,,,,16,16,16,16,16,16,16,16,0,16,16,16,16,16,16,16,16,16,16,,16,16
28,,,,,,,,12,12,12,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16
30,,,,12,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
31,,,,,,,13,13,13,13,13,13,13,13,13,13,,,,,,,14,14,14,14,14,
32,,,,,,,,,,,16,,,16,16,,,,,,,,,14,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,13,13,13,13,13,13,,,12,12,12,12,12,12,12,,,,,
35,,,,,,,,,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,
36,,,12,12,12,12,12,,12,12,14,,16,16,13,13,13,13,13,13,13,13,,14,14,,,
37,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
38,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
39,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15
40,,,12,,,,,,,,,,,,,,,,14,14,14,14,14,14,14,14,14,14
41,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,14
42,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
43,,,,,,,,,,,,,,,,,,8,8,8,,,,,,,,
44,,,12,12,12,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,12,12,12,12,12,12,12,12
45,,,,,,,,,12,12,12,12,12,12,12,12,,,,,,,,,,,,
46,,,,,,,,,,,,14,14,14,14,14,14,14,14,14,14,14,14,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16
48,,,,12,12,,,,,,12,,12,12,12,12,,,,,,,,,,,,
49,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
50,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,10,10,10,12,13,13,13,13,13,13,13,14,,14,14,14,14,,,,14,,14,14,14
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,12,12,12,,,,,,,,,,,,12,12,12,12,12,12,13,13,13,,,,,
58,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,16,16,16,16,16,16,16,16
59,,,,,,,,12,12,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
60,,,,,,,,,,,,,,12,12,12,12,12,12,,,,,,12,,,
61,,,,,,,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16
62,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,,,,,,
63,,,,,,,,,,,,,,,13,13,13,13,13,13,13,13,14,14,16,16,18,18
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,12,12,12,,12,12,12,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,16,16,,,16,,16,16,16,16,16,16,16
68,,,,,,,,,,,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
69,,,,,,,,,,,,,,,20,18,18,18,,16,16,16,16,16,16,16,16,16
70,,,,,,,,,,,,,,,,,16,18,,18,18,,18,,,,,
71,,,,,,,,,,19,19,19,19,-4,0,,,14,14,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,16,,16,16,16
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
76,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,,16,16,,,,,,
79,,,,,,,,,,,18,18,18,18,18,18,18,18,18,18,18,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
88,,,,,,,,,,,,,,,14,14,14,14,14,14,14,14,14,14,14,14,,
89,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,,,,12,12
90,,,,,,,,,,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18
91,,,,,,,12,12,12,12,12,12,12,13,13,14,14,14,,14,14,14,14,14,14,14,14,14
92,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,
93,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,,13
94,,,,,,,,12,12,,12,12,12,12,12,13,13,,13,13,13,13,13,13,13,13,13,13
95,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,12
96,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12
97,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
98,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
99,,,,15,,,15,15,15,15,15,15,15,15,15,15,,0,15,15,,,,,,,,
100,,,,,,,,,,,,,14,14,14,14,,,,,,,,,,,,
101,,,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,,13,,,13,,,,
102,,,,,,,,,,,,,14,14,14,14,14,14,,14,14,14,14,14,14,14,14,14
103,,,,,,,,,,,,,14,14,14,14,14,14,14,14,14,14,14,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,12,12,12,,,,,12,12,12,12,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16
107,,,,,,,,,,13,14,15,16,16,16,16,16,16,16,16,,12,12,12,99,99,12,12
108,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
111,,12,-3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
112,,,,12,12,12,,,,,,,,,16,16,16,16,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,12,12,12,12,12,,12,,12,12,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,-3,14,14
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,18,18,18,18,20,20,20,20
118,,,,14,14,,,,,,,12,12,12,12,12,12,12,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,15,16,16,16,16,16,16,16,16,,16,16,16,16,16,16,16,16,16
123,,,,,,,14,,14,14,14,15,,,16,16,,,,,,,,,,,,
124,,,,,,,,,16,,,,15,15,15,15,15,15,15,15,15,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,13,13,13,13,13,13,13,13,13,13,,,14,14,14,14,14,14,14,14,14,14
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,12,12,12,,12,12,12,,13,13,13
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,12,12,12,12
134,,,,,,,,,,12,12,12,12,12,12,12,12,12,,,,,,12,,,,
135,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,12,12
